Gregorian_month,lunar_month_year,colony_ID,treatment,feeding_treatment,temp_treatment,Temperature,tank_ID,RO,TLE,b_weight
Oct_2022,Sept_2022,H1F1,FH,Y,H,28,T2,16,19.17,36.91
Oct_2022,Sept_2022,H1F2,FH,Y,H,28,T2,319,27.89,76.77
Oct_2022,Sept_2022,H2F1,FH,Y,H,28,T4,29,19.44,37.31
Oct_2022,Sept_2022,H2F2,FH,Y,H,28,T4,251,25.75,59
Oct_2022,Sept_2022,H3F1,FH,Y,H,28,T5,11,20.6,42.41
Oct_2022,Sept_2022,H3F2,FH,Y,H,28,T5,159,21.28,51.93
Oct_2022,Sept_2022,L1F1,FL,Y,L,24,T1,154,17.28,32.18
Oct_2022,Sept_2022,L1F2,FL,Y,L,24,T1,197,27.91,88.62
Oct_2022,Sept_2022,L2F1,FL,Y,L,24,T3,22,21.38,52.58
Oct_2022,Sept_2022,L2F2,FL,Y,L,24,T3,22,18.06,41.49
Oct_2022,Sept_2022,L3F1,FL,Y,L,24,T6,74,20.14,41.35
Oct_2022,Sept_2022,L3F2,FL,Y,L,24,T6,11,24.22,54.12
Oct_2022,Sept_2022,H1N1,NH,N,H,28,T2,113,20.25,42.89
Oct_2022,Sept_2022,H1N2,NH,N,H,28,T2,29,19.02,45.08
Oct_2022,Sept_2022,H2N1,NH,N,H,28,T4,136,21.63,43.59
Oct_2022,Sept_2022,H2N2,NH,N,H,28,T4,262,21.57,43.61
Oct_2022,Sept_2022,H3N1,NH,N,H,28,T5,149,21.09,42.18
Oct_2022,Sept_2022,H3N2,NH,N,H,28,T5,220,21.48,53.41
Oct_2022,Sept_2022,L1N1,NL,N,L,24,T1,20,19.16,41
Oct_2022,Sept_2022,L1N2,NL,N,L,24,T1,528,22.81,55.7
Oct_2022,Sept_2022,L2N1,NL,N,L,24,T3,6,20.2,57.82
Oct_2022,Sept_2022,L2N2,NL,N,L,24,T3,12,21.18,37.43
Oct_2022,Sept_2022,L3N1,NL,N,L,24,T6,7,18.58,40.55
Oct_2022,Sept_2022,L3N2,NL,N,L,24,T6,18,22.3,64.68
